5
1000 5 200 300
\ C 143 ERR
G C 99 NO
k A 35 ERR
M B 130 ERR
r C 196 NO
X E 214 NO
f E 9 ERR
o A 91 NO
S E 123 NO
\ B 298 NO
Z C 70 ERR
l C 58 NO
C A 122 NO
K C 244 NO
[ D 271 ERR
S C 295 NO
m A 201 ERR
L D 5 NO
D D 37 ERR
g C 196 NO
T B 202 NO
h D 265 NO
I B 161 ERR
q C 180 ERR
b D 34 ERR
m D 227 NO
r C 164 NO
j D 54 NO
a C 129 NO
h B 282 ERR
^ D 127 ERR
l E 7 ERR
d C 248 NO
r A 100 NO
^ E 288 NO
U E 139 ERR
X E 238 NO
X B 62 ERR
R A 198 ERR
l B 59 NO
a D 58 ERR
r E 120 NO
f E 260 NO
W B 48 NO
N A 145 ERR
_ B 65 NO
h B 213 NO
m B 152 NO
N B 81 ERR
M E 248 NO
j A 140 ERR
G C 279 NO
i C 110 NO
P B 215 ERR
O C 221 NO
M D 262 NO
T C 83 NO
O A 3 ERR
P A 100 NO
^ A 287 NO
N D 138 ERR
D D 297 NO
b B 216 ERR
L A 158 NO
M A 143 NO
N D 33 NO
Q B 261 NO
A C 125 NO
q B 112 ERR
F E 90 ERR
T C 8 NO
` D 107 NO
i D 181 ERR
Z C 83 NO
T C 282 NO
e B 235 NO
Z C 193 ERR
f D 66 NO
f E 281 NO
_ B 102 ERR
B C 66 NO
^ E 288 ERR
X E 72 NO
U D 295 ERR
n C 52 NO
R E 162 NO
c B 261 NO
A A 129 NO
A C 240 NO
A E 84 ERR
m C 182 NO
F B 73 ERR
q E 209 NO
a C 241 NO
^ A 26 ERR
Z C 174 NO
n B 62 NO
W C 296 NO
U A 8 ERR
q B 231 NO
k D 56 ERR
Y C 27 NO
l B 227 NO
B A 81 ERR
[ D 197 ERR
\ C 215 NO
G A 26 NO
Z A 163 NO
g C 202 ERR
f D 209 NO
S E 61 NO
P B 288 NO
[ E 227 NO
U A 289 NO
O A 89 ERR
e E 89 NO
R D 98 NO
C D 65 ERR
a C 171 ERR
[ E 129 NO
[ D 7 ERR
Z D 267 NO
U A 228 NO
l C 223 ERR
` A 140 ERR
A A 74 ERR
Q E 209 NO
I E 268 NO
o D 242 NO
S D 151 NO
Z D 83 NO
R A 207 ERR
S D 5 ERR
h B 37 NO
E E 7 NO
j C 259 ERR
Y C 43 NO
_ D 12 NO
P B 279 NO
P E 112 ERR
C A 176 NO
i A 56 NO
Q A 42 NO
Y B 256 NO
f C 202 ERR
K E 279 ERR
^ C 11 NO
n D 7 NO
Z D 185 NO
M C 22 NO
L E 1 NO
l C 106 NO
^ B 123 ERR
N B 278 NO
j D 291 NO
d A 283 NO
A D 141 NO
S E 192 NO
^ B 285 NO
e B 282 ERR
Q C 87 NO
k E 92 ERR
p D 8 NO
T E 128 NO
o A 31 NO
I B 148 ERR
E A 69 NO
] E 255 ERR
A B 253 NO
I A 237 NO
] B 193 NO
o D 295 NO
r A 119 NO
B C 236 NO
P A 277 NO
r A 53 ERR
A D 293 NO
Y E 54 NO
e A 258 NO
F D 194 ERR
` A 250 NO
V D 128 ERR
b B 241 NO
\ A 272 NO
J D 156 NO
F A 214 ERR
j B 27 NO
X A 232 NO
e D 10 NO
i C 90 NO
A D 142 NO
r D 197 NO
F E 201 NO
C C 282 NO
c C 133 NO
H C 42 NO
H D 2 NO
h A 88 ERR
W A 67 NO
D B 211 ERR
c C 68 NO
D E 184 ERR
m B 255 NO
I E 22 NO
_ D 267 NO
a D 178 NO
n E 52 ERR
] A 191 NO
a C 206 ERR
C C 174 NO
r E 118 ERR
l D 195 NO
F C 63 NO
V A 42 NO
T A 178 NO
e A 239 NO
Q B 178 NO
J A 103 NO
d D 88 NO
N E 213 ERR
C D 189 ERR
J D 98 NO
L B 199 NO
X E 225 NO
o A 288 ERR
V D 216 ERR
U B 48 NO
\ A 25 ERR
B E 57 NO
W A 254 ERR
m B 122 NO
i E 109 NO
o D 257 NO
I C 16 ERR
_ D 287 NO
n E 38 ERR
l A 92 ERR
g D 208 NO
I D 156 ERR
h E 145 ERR
P D 244 NO
U E 203 ERR
E B 243 ERR
p C 288 ERR
\ C 161 NO
e C 230 NO
P A 163 NO
] D 219 ERR
a B 125 NO
c C 110 NO
X E 63 ERR
P E 276 NO
e E 244 NO
A C 11 ERR
M E 278 NO
q C 211 ERR
f D 52 NO
J B 156 ERR
V E 239 NO
S A 57 NO
K A 66 NO
b A 4 NO
d C 218 ERR
` A 91 NO
Q E 154 NO
\ D 293 ERR
A B 176 NO
^ C 23 NO
V B 130 ERR
l E 260 NO
C C 42 ERR
h A 197 NO
` C 42 NO
S A 169 NO
q A 221 NO
[ D 154 NO
_ A 248 NO
i D 119 NO
g B 86 ERR
L B 124 ERR
H D 1 NO
D A 125 NO
G A 70 NO
R A 127 NO
B B 181 ERR
d A 157 ERR
D A 266 NO
a D 65 NO
^ D 262 ERR
W A 196 ERR
V C 159 NO
g B 118 NO
c E 100 NO
M C 171 NO
K E 79 NO
a D 139 ERR
o B 201 ERR
d C 47 ERR
h D 273 ERR
e D 121 NO
O D 17 ERR
H D 224 NO
l D 128 NO
d E 258 NO
p E 206 ERR
E E 168 NO
O B 172 ERR
U D 170 NO
b C 29 NO
Z E 104 NO
E C 297 ERR
Z D 234 ERR
k B 110 NO
k C 81 NO
a E 162 ERR
p A 184 NO
O D 70 ERR
H B 264 NO
q C 283 NO
C D 136 ERR
f A 156 NO
U D 134 NO
A B 229 NO
[ D 283 NO
F E 27 ERR
R E 115 NO
f E 57 NO
C A 95 ERR
Q A 32 NO
k D 69 NO
O A 100 NO
Y D 12 NO
E B 125 NO
D C 197 NO
P B 71 NO
T C 8 NO
p B 139 NO
S E 160 NO
C B 284 ERR
G E 14 NO
q A 38 NO
P A 147 NO
^ A 154 NO
\ A 25 NO
r E 88 ERR
Y D 171 NO
R B 63 NO
L E 222 NO
j D 149 NO
j D 128 NO
b C 81 NO
K B 132 NO
n E 203 NO
j C 296 NO
k A 103 ERR
K B 234 NO
j A 286 ERR
Y B 164 NO
r E 272 NO
a A 241 NO
] E 116 NO
W A 225 NO
V C 212 NO
P A 208 NO
J C 90 ERR
h E 276 NO
Q D 156 ERR
q E 122 NO
_ D 76 NO
d B 241 NO
M A 8 NO
i C 132 NO
n A 280 ERR
c E 111 NO
_ D 7 NO
n E 77 NO
p B 7 NO
i D 25 NO
\ A 57 NO
b B 220 ERR
` E 52 NO
\ C 145 NO
W A 216 NO
T A 169 NO
S E 107 NO
N A 180 NO
a C 67 NO
p A 114 NO
G D 147 NO
g E 114 NO
m C 244 NO
O B 187 ERR
_ D 294 ERR
a A 242 NO
N E 60 ERR
D D 253 ERR
l D 284 NO
G D 187 ERR
_ B 37 NO
^ C 282 NO
K A 91 ERR
Q B 275 ERR
[ A 66 ERR
N E 270 NO
E D 159 ERR
Y B 255 NO
H B 46 ERR
S E 70 NO
e A 34 NO
Q A 136 NO
n C 265 NO
F E 24 NO
b D 85 NO
i A 275 NO
b A 139 ERR
B A 256 NO
G D 240 NO
Y D 112 NO
c E 75 NO
J D 271 ERR
S C 213 NO
S C 62 NO
f D 161 ERR
D A 79 ERR
g A 200 NO
_ E 216 NO
V B 66 ERR
] E 127 NO
H B 207 NO
o E 28 NO
X D 67 NO
W A 167 ERR
W B 51 NO
P B 223 NO
\ D 113 ERR
B D 205 ERR
I D 280 NO
\ E 145 NO
X C 90 NO
e E 80 ERR
q B 243 NO
l A 137 NO
V E 41 NO
B A 212 NO
r A 19 NO
F E 150 ERR
M C 40 NO
O E 207 NO
k A 170 NO
Q D 122 NO
p E 249 NO
h A 181 NO
j B 188 ERR
i E 102 NO
a A 211 NO
M B 127 NO
f C 72 NO
j A 107 NO
n D 117 ERR
q C 275 NO
r E 67 NO
b D 125 NO
L A 135 ERR
b D 152 NO
O A 95 NO
I E 111 NO
q A 201 NO
\ C 286 NO
[ E 45 NO
r D 108 NO
q E 258 ERR
l D 87 ERR
P C 37 ERR
m C 218 ERR
g A 38 ERR
N D 30 NO
K C 21 NO
M C 262 NO
N D 38 ERR
c B 99 NO
Y D 269 NO
r C 72 ERR
F E 107 NO
^ D 124 NO
K B 75 ERR
m C 127 ERR
I A 78 NO
l D 13 NO
W B 212 ERR
h A 78 NO
c A 33 NO
V A 75 NO
U D 264 NO
i D 276 NO
K A 59 ERR
W B 287 ERR
V A 25 NO
d B 104 NO
h B 218 ERR
b E 287 NO
g D 223 ERR
O B 171 NO
N A 72 ERR
L C 71 NO
f E 184 NO
\ C 244 ERR
M A 144 NO
P C 57 NO
P D 165 NO
S A 107 ERR
O A 253 NO
B E 144 ERR
V E 242 NO
L D 224 NO
G A 3 ERR
e A 12 ERR
X D 112 NO
U C 69 NO
r B 18 ERR
Y A 247 NO
` E 25 NO
q E 159 NO
F D 233 ERR
f B 40 NO
C B 38 ERR
L D 275 NO
e C 260 ERR
] A 47 NO
H D 280 NO
W D 230 NO
O E 216 ERR
k C 121 NO
] B 286 NO
B D 132 NO
A D 250 NO
q B 108 NO
O C 224 NO
T B 11 NO
J C 112 NO
N E 204 NO
q B 85 NO
c E 149 NO
T D 205 NO
X E 255 ERR
q D 255 NO
M D 73 ERR
C D 191 NO
S A 56 NO
p C 70 NO
m B 256 NO
U B 83 ERR
L B 75 ERR
[ D 116 NO
l A 77 ERR
i E 239 ERR
E B 14 NO
\ C 157 ERR
B C 15 NO
X B 27 NO
I A 12 NO
i E 195 ERR
J C 217 NO
j B 83 ERR
_ A 137 NO
m E 239 NO
] A 18 ERR
m B 150 NO
_ D 178 ERR
] C 25 NO
H A 80 ERR
n E 128 NO
D B 249 ERR
[ E 87 NO
a C 48 NO
Y C 82 NO
j B 178 NO
d D 81 NO
I E 14 ERR
X A 193 NO
O E 102 NO
a A 185 NO
Y C 49 NO
h C 230 ERR
` A 7 ERR
J A 187 NO
a C 228 NO
g D 238 ERR
q D 209 NO
N E 25 NO
g B 29 NO
B E 10 ERR
i D 161 ERR
b E 76 ERR
W B 161 NO
D A 239 NO
g D 109 NO
f B 16 NO
Y B 224 NO
Z B 54 NO
o D 193 ERR
^ B 191 NO
D D 245 NO
e E 81 NO
f D 6 NO
m A 173 NO
T A 199 NO
P D 3 ERR
^ E 222 NO
T D 24 NO
J C 9 NO
V E 59 NO
C A 129 ERR
k D 93 NO
b D 210 NO
h C 141 ERR
h B 24 NO
o A 176 ERR
i C 108 NO
c E 49 NO
J A 5 ERR
Z C 14 NO
K E 43 ERR
i B 166 NO
N E 272 ERR
G C 157 ERR
b E 90 ERR
P C 272 ERR
i B 18 ERR
I B 222 NO
n A 248 NO
n E 220 NO
G D 133 NO
R D 194 NO
M C 3 ERR
p D 23 NO
l C 153 NO
i A 281 NO
F C 32 NO
g D 22 NO
o B 135 NO
o D 20 ERR
h D 220 ERR
m C 46 ERR
V D 49 NO
n D 165 NO
_ C 168 ERR
r E 73 ERR
\ D 271 NO
d B 17 NO
X E 276 NO
Y A 94 ERR
N D 146 ERR
^ E 292 ERR
j D 87 NO
U B 180 NO
c C 24 ERR
i D 144 NO
d C 100 ERR
n A 234 NO
\ C 77 NO
T E 262 NO
P C 49 NO
D C 99 NO
R A 6 ERR
Y A 202 NO
m D 283 NO
o C 142 NO
n C 1 NO
n E 181 NO
P D 242 ERR
K C 94 NO
a B 62 NO
D A 73 NO
E D 145 NO
I D 139 NO
^ D 74 NO
j B 271 NO
X B 251 ERR
X B 146 ERR
E D 58 NO
K B 151 ERR
j A 298 NO
L C 260 ERR
a D 12 NO
[ C 31 ERR
I D 187 NO
H C 6 NO
N D 229 ERR
R E 272 NO
D A 219 NO
H D 81 NO
Z D 128 NO
i A 70 ERR
m E 23 NO
` E 178 NO
1000 5 200 300
f E 228 ERR
A E 286 NO
e B 279 NO
Q B 259 ERR
R A 129 NO
I E 111 NO
V C 257 ERR
c D 39 NO
N B 281 NO
C E 187 NO
n E 274 NO
q E 60 NO
b A 48 NO
m E 250 NO
C B 23 NO
[ A 112 ERR
L C 267 NO
f E 79 NO
A E 133 NO
[ A 299 NO
Y A 47 ERR
_ A 67 NO
B D 141 NO
D D 65 NO
g C 130 NO
E A 80 NO
J B 243 ERR
B C 97 ERR
H A 153 NO
B D 19 NO
g A 265 NO
] E 279 NO
G C 43 ERR
\ E 84 ERR
S E 20 NO
X B 124 NO
b C 83 NO
n A 5 NO
q C 241 NO
g D 209 ERR
L B 37 ERR
m A 299 NO
G C 241 NO
K A 27 NO
l B 251 NO
W D 270 NO
Z B 276 NO
G A 159 ERR
E A 140 NO
O E 239 ERR
l D 245 NO
T C 30 ERR
b C 232 ERR
j B 172 ERR
L B 43 NO
g E 110 NO
f D 77 NO
d C 38 NO
p E 200 NO
] A 238 ERR
p D 62 NO
e C 45 NO
h E 205 NO
] D 220 NO
A C 195 ERR
F E 199 NO
n E 135 NO
P A 62 NO
d E 74 NO
X E 169 NO
h C 86 NO
[ B 192 NO
U B 142 NO
M D 111 ERR
K B 4 NO
^ E 62 ERR
Q E 226 NO
H D 102 ERR
A E 43 NO
o C 175 ERR
Z D 259 NO
l C 269 NO
k B 62 NO
i A 11 ERR
` D 109 ERR
J B 214 ERR
_ E 290 NO
N E 95 NO
r C 145 NO
j B 149 ERR
H B 186 NO
d C 256 NO
E A 0 NO
L B 85 NO
D A 238 NO
q B 123 NO
\ C 132 ERR
c B 35 NO
i A 118 NO
[ B 57 NO
p E 81 NO
X D 73 NO
c A 24 ERR
[ C 175 NO
M B 277 NO
W D 228 NO
` C 261 NO
V C 219 ERR
K E 23 NO
` D 284 NO
D E 250 NO
O B 212 NO
Q C 166 NO
W D 171 ERR
i D 211 ERR
D D 293 NO
[ B 191 ERR
d B 197 NO
a B 175 NO
K B 73 NO
r B 14 NO
W B 48 ERR
^ C 229 NO
i D 39 NO
S D 248 NO
J A 209 ERR
I C 91 NO
c E 175 NO
J C 230 ERR
o E 196 ERR
p B 66 ERR
D D 297 NO
L B 18 ERR
p E 255 NO
i B 247 NO
k B 212 NO
O A 284 NO
H C 54 NO
L D 207 ERR
c E 84 NO
O E 249 NO
L E 151 NO
G D 258 NO
Z A 158 NO
A E 75 NO
R A 114 NO
L A 190 ERR
l B 163 ERR
m E 158 NO
r E 193 NO
i B 228 NO
_ C 233 NO
L A 195 ERR
] D 109 NO
h C 125 NO
Z D 7 NO
Q E 116 NO
` E 54 NO
k E 94 ERR
h B 195 ERR
h C 169 NO
j C 250 NO
h C 7 NO
A D 3 NO
B D 259 ERR
m B 49 ERR
A B 87 ERR
U A 190 NO
a E 76 NO
r A 193 ERR
Y B 101 NO
U D 11 NO
g D 120 NO
N B 75 NO
D C 163 ERR
m D 201 NO
E A 196 ERR
m E 239 ERR
^ B 26 ERR
J B 275 NO
H D 154 NO
C E 138 NO
q C 111 ERR
V B 25 NO
] D 2 NO
i E 35 NO
m E 134 NO
I D 48 NO
e B 49 NO
H C 224 NO
p D 110 NO
L D 73 NO
j B 161 ERR
T A 37 ERR
h A 38 NO
O C 193 ERR
j A 254 NO
n E 129 ERR
e B 104 NO
] D 229 NO
h A 233 NO
R C 213 NO
m E 109 NO
\ D 186 NO
H E 12 NO
E E 59 ERR
r D 129 NO
H D 25 ERR
Q C 211 NO
F B 180 NO
F E 115 ERR
b D 216 NO
J D 91 ERR
[ E 36 NO
L D 218 ERR
R D 6 NO
V A 246 NO
K D 293 ERR
T A 188 NO
e E 214 NO
f D 28 NO
V D 56 ERR
P C 166 NO
Q A 91 NO
I A 50 NO
m C 25 ERR
J A 117 ERR
L B 156 NO
F A 214 ERR
c E 61 ERR
j C 26 ERR
q D 81 NO
p A 0 ERR
X A 254 NO
N B 189 NO
V A 199 NO
L C 137 NO
c D 273 NO
D C 48 NO
l A 186 NO
O B 262 NO
N D 174 ERR
Z C 185 NO
O B 173 NO
W A 249 ERR
h A 123 NO
h E 47 NO
Q D 229 ERR
e D 170 ERR
f B 57 ERR
E B 179 NO
k B 93 NO
\ D 195 NO
h B 220 NO
U B 224 NO
h D 207 NO
M B 116 ERR
c E 218 NO
E B 109 NO
H C 12 NO
D B 214 ERR
] B 287 NO
W A 17 NO
q E 70 ERR
K E 187 NO
S A 117 ERR
F A 207 NO
e A 32 NO
h A 175 ERR
R D 188 ERR
X B 153 NO
E B 137 NO
S E 263 ERR
d B 226 NO
a D 31 ERR
F D 200 NO
W D 172 NO
F D 103 NO
G C 224 ERR
C D 212 ERR
[ D 56 ERR
d E 230 NO
l B 271 ERR
[ B 37 NO
P E 231 ERR
m B 53 NO
e B 147 NO
[ B 239 NO
L A 271 NO
h A 87 ERR
p C 43 NO
e B 113 NO
X A 4 NO
I A 73 ERR
f B 37 NO
Y E 179 ERR
E B 107 NO
D B 8 NO
M D 189 NO
C E 242 NO
f A 37 ERR
D B 108 ERR
R B 102 ERR
F A 132 ERR
X C 192 NO
F A 106 NO
e A 283 ERR
c E 116 NO
r E 72 NO
Y B 280 ERR
R C 178 ERR
j A 144 NO
C B 115 NO
i D 147 NO
i C 192 NO
g B 2 NO
H A 281 ERR
f D 159 NO
F E 262 NO
m D 9 NO
` E 127 NO
X A 170 NO
A D 245 NO
o B 184 NO
l C 26 NO
I D 25 NO
L D 249 ERR
_ E 298 NO
F B 40 NO
[ D 28 NO
i A 165 NO
h B 118 NO
[ D 169 NO
k B 268 NO
Z E 292 ERR
o B 224 ERR
C A 127 NO
D A 284 NO
Z D 136 NO
E C 109 NO
^ E 230 NO
p D 58 NO
c A 6 NO
r B 145 NO
U D 191 NO
p E 114 NO
h E 38 NO
] A 108 NO
m A 23 NO
q D 243 NO
c D 67 NO
n B 4 NO
_ C 128 ERR
E E 102 NO
A B 280 ERR
U D 139 NO
B B 262 NO
\ E 213 NO
T C 15 NO
m C 178 NO
d E 62 ERR
U C 249 NO
r D 229 ERR
] C 242 NO
O E 250 NO
c C 74 NO
F E 151 ERR
K B 233 ERR
^ B 114 ERR
r A 230 NO
K B 218 NO
o C 66 NO
C E 188 NO
E C 273 NO
_ C 34 NO
Y B 36 NO
W E 31 NO
m A 65 NO
_ E 137 NO
L C 106 NO
D B 271 ERR
L B 171 NO
` B 189 ERR
K B 275 ERR
_ A 254 NO
O A 255 NO
Z C 41 NO
[ D 235 NO
H B 255 NO
O B 207 NO
B E 98 NO
C A 143 NO
D E 222 NO
d E 75 NO
n D 111 NO
B E 204 NO
\ A 124 NO
l A 61 ERR
b C 75 ERR
M B 279 NO
n C 299 NO
X A 181 ERR
N E 25 NO
K E 41 ERR
[ A 159 NO
o E 29 ERR
^ C 60 NO
S C 3 NO
a E 13 NO
M C 74 ERR
V D 218 ERR
U D 186 NO
W C 267 ERR
k B 84 ERR
V B 55 NO
V A 44 NO
G D 117 NO
d C 197 NO
M B 58 ERR
^ B 60 ERR
d B 148 NO
V D 9 NO
O A 158 NO
e A 177 NO
b A 62 ERR
E E 42 ERR
U B 205 NO
Z A 190 ERR
E E 3 NO
F A 1 NO
A A 92 NO
C C 18 NO
\ E 292 NO
\ D 142 NO
J D 116 NO
N D 221 NO
J E 55 NO
X A 231 NO
F A 178 ERR
^ B 167 ERR
l B 48 NO
P D 76 ERR
U D 75 NO
F E 235 NO
K B 224 NO
k E 219 ERR
] A 131 NO
n B 165 ERR
S E 161 NO
d E 68 NO
X C 292 ERR
\ A 198 NO
J B 59 ERR
L C 293 NO
B D 291 NO
] E 100 NO
Q A 163 NO
l E 154 NO
q A 241 NO
Q E 22 ERR
X A 167 NO
c A 130 NO
L C 299 NO
` C 102 NO
N D 75 NO
X B 47 ERR
i A 125 NO
E B 57 NO
J D 156 ERR
d D 281 NO
A A 117 NO
j A 281 NO
[ B 116 NO
U A 74 NO
Q A 105 ERR
_ A 237 NO
Z D 123 ERR
[ E 210 NO
[ B 76 NO
q C 92 NO
X A 134 ERR
o A 36 NO
` D 239 NO
W B 6 ERR
D B 294 ERR
B C 93 NO
C C 293 NO
o A 167 NO
K A 1 NO
r A 48 NO
V C 14 NO
W A 118 ERR
F E 228 ERR
^ A 151 NO
] C 122 NO
p E 51 NO
N C 22 NO
` A 270 NO
_ E 243 NO
p A 39 NO
Q C 238 NO
o B 116 NO
F E 206 NO
C E 299 ERR
J A 128 NO
^ D 6 NO
g D 36 ERR
` C 216 NO
[ C 106 NO
k E 62 NO
H C 217 NO
o D 12 ERR
L D 44 NO
S A 105 NO
J A 228 NO
M A 202 NO
J D 3 NO
Z C 247 ERR
k A 192 NO
D B 132 NO
j E 157 ERR
I A 94 NO
M A 219 NO
N A 0 ERR
[ B 30 ERR
k C 70 NO
F E 258 NO
P C 53 ERR
b E 183 NO
r D 145 NO
E C 34 ERR
n C 54 NO
G C 49 NO
Z B 40 ERR
] E 239 NO
] D 274 NO
` B 230 NO
X B 243 NO
i E 196 NO
W C 156 ERR
T E 154 ERR
k E 147 NO
n B 188 ERR
Y C 276 NO
I B 239 NO
P A 47 NO
b C 53 ERR
M C 7 NO
B E 161 ERR
a D 225 NO
n C 84 ERR
U B 182 NO
` E 9 ERR
D A 297 NO
p E 150 NO
B B 154 ERR
Z B 84 NO
e C 122 ERR
S E 135 ERR
V A 160 NO
a B 32 NO
l C 45 ERR
C B 126 NO
^ C 221 ERR
T B 33 NO
C E 57 ERR
k C 246 ERR
V B 27 ERR
r B 101 ERR
c E 120 NO
q A 81 NO
V E 245 NO
N B 112 NO
G A 34 NO
a D 180 NO
] C 174 NO
E B 31 NO
Y A 29 NO
M A 43 NO
I D 141 NO
V C 215 NO
D D 265 NO
e C 229 NO
Z D 69 ERR
G C 234 NO
O B 225 NO
R A 105 NO
g E 34 NO
_ B 72 NO
p E 11 NO
Z C 149 NO
M D 28 NO
T C 219 NO
^ B 71 NO
r D 14 NO
` B 294 NO
` C 102 NO
K A 103 ERR
Z B 21 NO
L A 112 NO
j D 253 NO
M A 175 NO
C B 87 NO
l C 71 ERR
_ B 190 NO
D E 93 NO
Y D 56 NO
l A 124 ERR
H A 232 NO
h B 57 NO
b B 63 NO
p E 124 NO
Z A 11 NO
I D 69 NO
X A 259 NO
E D 281 ERR
G E 280 ERR
k E 250 NO
o B 210 ERR
W A 126 NO
q B 137 ERR
h E 272 NO
C E 29 NO
W C 9 NO
a E 286 NO
J D 61 NO
T B 28 NO
S B 160 NO
O B 237 ERR
R B 250 NO
p C 194 NO
O D 282 ERR
\ D 229 ERR
Y C 247 ERR
o D 174 ERR
D D 286 NO
b C 69 ERR
q C 261 NO
` C 78 NO
R C 16 NO
Z B 86 ERR
p A 202 NO
I E 3 NO
N C 145 NO
j D 60 NO
K C 243 NO
n B 66 NO
V A 106 NO
I B 292 NO
g B 8 NO
[ B 95 ERR
F C 19 NO
T E 259 NO
M E 147 ERR
E E 101 NO
