100000 -1486618624
-491486 -487323 R
-491686 -472606 D
-477095 -469311 L
-490028 -482491 L
-499704 -474841 L
-495841 -486603 D
-473723 -483229 R
-472071 -479205 D
-482279 -468383 L
-480737 -474482 D
-469148 -468425 D
-488000 -470352 R
-494868 -479204 U
-482068 -498806 D
-477169 -490682 R
-494476 -497860 L
-468847 -470813 R
-492802 -488153 R
-491919 -484696 U
-478667 -497831 U
-474669 -496467 R
-475297 -485667 D
-484319 -469618 L
-468031 -473405 R
-486481 -467702 U
-470379 -472070 L
-467582 -490349 L
-477823 -469935 L
-484589 -476527 D
-497200 -476866 R
-477155 -478140 D
-475177 -468172 L
-470822 -480376 L
-478380 -495434 R
-490690 -469779 D
-487771 -491410 R
-479736 -469035 L
-474073 -499747 D
-493876 -494171 R
-477151 -485228 U
-488383 -479708 L
-476418 -486416 R
-488339 -467301 U
-497961 -495161 U
-471409 -498087 L
-474011 -489327 L
-483622 -485726 L
-468226 -471569 R
-471467 -496328 D
-496594 -467809 L
-498817 -483334 D
-497921 -489158 D
-472947 -481966 U
-497637 -489132 R
-484778 -493471 L
-478398 -481068 L
-473271 -480974 L
-473138 -493665 D
-487420 -481190 R
-469701 -471577 L
-474264 -492856 R
-477712 -487485 U
-471500 -496197 R
-490059 -472874 D
-492905 -472043 D
-477537 -483536 D
-485837 -471684 U
-490915 -472908 L
-477814 -471785 L
-487651 -479072 L
-491059 -485186 L
-498031 -498934 U
-492933 -480521 R
-474442 -478603 D
-498074 -478950 D
-489623 -495670 L
-497693 -480144 D
-470798 -489646 L
-469413 -485333 L
-483578 -494194 U
-478344 -485502 R
-483076 -467720 L
-467814 -485794 L
-470246 -482795 D
-489114 -471977 U
-473520 -498334 D
-471424 -490248 D
-499016 -488706 L
-473135 -474763 D
-488789 -471518 U
-471054 -489625 L
-489635 -478523 R
-470391 -471771 D
-497361 -486914 R
-498242 -475187 L
-469699 -487938 D
-492785 -497630 R
-497963 -491322 D
-478669 -472375 D
-481582 -490287 U
-476984 -469626 U
-494568 -485001 L
-477186 -487800 L
-499806 -480074 L
-479872 -467984 L
-474145 -486763 D
-475322 -481012 R
-486832 -477583 U
-478687 -492550 D
-474198 -480060 R
-476917 -489029 L
-469531 -471985 U
-497741 -471079 U
-483072 -480343 R
-475973 -490966 R
-469409 -467807 L
-489321 -491435 L
-489449 -487169 L
-492522 -468438 L
-496517 -488327 R
-494081 -492820 L
-489532 -494084 D
-472765 -478445 D
-472898 -471389 U
-475728 -469695 U
-473434 -483610 D
-488654 -473520 D
-492087 -468250 R
-486405 -489014 L
-494194 -482064 L
-476109 -472277 L
-494115 -491140 U
-492039 -493127 D
-480464 -470438 R
-471337 -487463 D
-483412 -485682 D
-481274 -499670 U
-486129 -488249 D
-486138 -486968 R
-467358 -494732 L
-482177 -482675 D
-480859 -497183 R
-490143 -483032 R
-489229 -474004 R
-487745 -480682 L
-473134 -472534 D
-492838 -468041 L
-490330 -481384 R
-471466 -478237 U
-495737 -485851 U
-472431 -488752 D
-473374 -470915 R
-493941 -475475 D
-491598 -493147 D
-472080 -479050 R
-472521 -478919 L
-492012 -488781 U
-481940 -476812 U
-479479 -470755 D
-474449 -498747 L
-472300 -471262 U
-497568 -491737 R
-475858 -474887 L
-484010 -471187 R
-471211 -485816 D
-491394 -477376 U
-499759 -489078 R
-485625 -473460 L
-479034 -496966 L
-499488 -467580 U
-489058 -480601 U
-493960 -485237 D
-476618 -474685 L
-482308 -470114 U
-467498 -473014 R
-477816 -469989 L
-487342 -471280 R
-473845 -483851 U
-478738 -487587 D
-481849 -477775 L
-497956 -479846 U
-470344 -482615 L
-473752 -467518 L
-467898 -491966 R
-478675 -489006 L
-489716 -473196 U
-472080 -493144 D
-495456 -479680 U
-487187 -476909 U
-495463 -489313 L
-481862 -498676 D
-468151 -499500 U
-497136 -497084 L
-485147 -497949 L
-499174 -486772 L
-491755 -474276 U
-492780 -468021 U
-469991 -473055 D
-497564 -484237 L
-480757 -498393 D
-470408 -474438 R
-481815 -481980 D
-498939 -481534 L
-485014 -468114 D
-494977 -471244 D
-497722 -482571 U
-472862 -484101 U
-471812 -494186 D
-485338 -493025 U
-484286 -495489 D
-483088 -492173 R
-477798 -492124 U
-499102 -489456 R
-484413 -489242 U
-467948 -471592 L
-488705 -474880 L
-469602 -496269 D
-489877 -478654 L
-499396 -492736 D
-469807 -467602 R
-493709 -491527 L
-481466 -469152 D
-481346 -477452 D
-494867 -487863 D
-491863 -483001 R
-478028 -485477 L
-492561 -484804 D
-478991 -494079 U
-470162 -471333 D
-484839 -481034 L
-472569 -483988 U
-478961 -483370 D
-468012 -474303 L
-477501 -497538 L
-488652 -479697 D
-476656 -477738 D
-470896 -486282 U
-475621 -477986 L
-478980 -495342 D
-478042 -481517 R
-485903 -492644 U
-482033 -495805 L
-480553 -492973 D
-498698 -476631 U
-469730 -478753 D
-472897 -475534 L
-499188 -488982 U
-481947 -473105 L
-470636 -487769 D
-476571 -495578 U
-473140 -485672 L
-474206 -484740 R
-477474 -470274 U
-467830 -486225 R
-470644 -477778 D
-481037 -480163 L
-468331 -471485 D
-475802 -479033 R
-491609 -481695 R
-492348 -474092 L
-479589 -473073 D
-468330 -482889 R
-472525 -486067 D
-493460 -481325 R
-499821 -468121 L
-476667 -487510 L
-487390 -468090 L
-491710 -498311 L
-468061 -479453 R
-490476 -488880 D
-498531 -472474 R
-473633 -496948 D
-475795 -477282 D
-488693 -480329 U
-469348 -471469 L
-486219 -497160 R
-469174 -496226 D
-496700 -467611 U
-487735 -494385 D
-495152 -473528 R
-468280 -481658 R
-478316 -484423 U
-499817 -482874 U
-475670 -490205 R
-468890 -493127 R
-477315 -470141 R
-482403 -491501 L
-487243 -491704 R
-486514 -499888 R
-489326 -477728 D
-489929 -493229 U
-499612 -471475 R
-497965 -494592 U
-478807 -483749 U
-486817 -474899 R
-475014 -478635 L
-478101 -487867 U
-480697 -497855 D
-482360 -475551 U
-474153 -496624 U
-483601 -487213 U
-480568 -473020 R
-485828 -498992 D
-471553 -473352 R
-489903 -481731 D
-471603 -484525 U
-471241 -477748 L
-499795 -471095 U
-490211 -470554 D
-480534 -482376 L
-492093 -481951 R
-480617 -494783 L
-497165 -490968 R
-469360 -478350 U
-480107 -498333 U
-493437 -491239 U
-497341 -487485 R
-494793 -472364 D
-490904 -497159 R
-478839 -471229 R
-490677 -469369 U
-475184 -487842 U
-471911 -472727 D
-488022 -493212 R
-468402 -470203 L
-471191 -479525 D
-479228 -487131 U
-475759 -493420 R
-494314 -494862 U
-469470 -483397 R
-484323 -468458 R
-485720 -487596 L
-480853 -491748 D
-477361 -477262 R
-467886 -481240 R
-487842 -473649 U
-480172 -470126 D
-474899 -485488 U
-498785 -499434 D
-487241 -495020 U
-491826 -472754 R
-475062 -494749 U
-479631 -498058 U
-492012 -488941 R
-476213 -490842 D
-467985 -484918 L
-469313 -483578 D
-467901 -477673 D
-492882 -490318 U
-467247 -469605 D
-477594 -492743 U
-489783 -497532 R
-473212 -472576 D
-499528 -490055 U
-478267 -474884 D
-497042 -496111 D
-496828 -476554 R
-493585 -489682 L
-486247 -480563 R
-485367 -477240 D
-491446 -478074 L
-499668 -471665 U
-494822 -481794 U
-476531 -468741 U
-487663 -486504 R
-474431 -473711 D
-478890 -476090 L
-476076 -494199 U
-479440 -499788 D
-488444 -467482 L
-489780 -494456 U
-481366 -484270 L
-497513 -486802 U
-493061 -470435 L
-490420 -477465 U
-487779 -472585 D
-470774 -484073 D
-470965 -486087 U
-480755 -491511 R
-489981 -487466 R
-482851 -484320 L
-467614 -494896 R
-496625 -495702 L
-491573 -484539 L
-474639 -498735 L
-475933 -472216 D
-474957 -491932 U
-487289 -485107 L
-491538 -470485 R
-490670 -491699 R
-485993 -497987 D
-496582 -478935 D
-493375 -486886 D
-475393 -497354 U
-473417 -488079 L
-481698 -485697 R
-498088 -476194 L
-493001 -490791 D
-494655 -494335 U
-491208 -497570 U
-470372 -491845 D
-480599 -487476 D
-471113 -489348 L
-468896 -467847 R
-496977 -475169 U
-476650 -496994 U
-473397 -472693 D
-494965 -494045 D
-496025 -468333 L
-486340 -470986 D
-485770 -479806 R
-473446 -475635 D
-493559 -496219 U
-498173 -473749 R
-478246 -477402 U
-491544 -476228 D
-485302 -499180 L
-493080 -494877 R
-484262 -486407 R
-471601 -480498 D
-490878 -485635 D
-467542 -486608 D
-496522 -470579 D
-472453 -480785 R
-473806 -467259 R
-475853 -471257 U
-468757 -495673 D
-490253 -468394 R
-472392 -476793 L
-483640 -482173 R
-498166 -467918 U
-492956 -478074 U
-483760 -493377 D
-496524 -478533 U
-493224 -480952 R
-488785 -490110 R
-478898 -477128 R
-493903 -488928 R
-482969 -490180 D
-478155 -469551 L
-484199 -468942 L
-467880 -468678 U
-479245 -474741 U
-482590 -478093 U
-484757 -498473 R
-490549 -486302 D
-490944 -494205 L
-467337 -482781 U
-478137 -485664 R
-487072 -494685 R
-486478 -489453 D
-482276 -485171 R
-499399 -468605 L
-489713 -498994 L
-477523 -480044 R
-477403 -496814 L
-487339 -491105 L
-493217 -475173 L
-487505 -483240 L
-477917 -493190 R
-468119 -482774 R
-490099 -490617 R
-479574 -479310 R
-476882 -494535 R
-467452 -480807 U
-494338 -479190 D
-499034 -469179 U
-468368 -479706 D
-496468 -477679 D
-476698 -482599 D
-482409 -490288 U
-470539 -478152 D
-481190 -473331 R
-478919 -482628 R
-479620 -472902 L
-470095 -480574 R
-480711 -474800 R
-469550 -472400 D
-479304 -490854 D
-497966 -480592 L
-474208 -497586 R
-470815 -480992 R
-485452 -469751 R
-472761 -484605 R
-487860 -475563 L
-486502 -478689 R
-494155 -496468 R
-480624 -474486 R
-472863 -494144 R
-498149 -499766 R
-494342 -498053 U
-472633 -487966 U
-476253 -499873 U
-485475 -484132 D
-468967 -499369 R
-474385 -473681 L
-482960 -490976 R
-476194 -469614 R
-487782 -489781 U
-485509 -478949 D
-470783 -473086 D
-482867 -472383 R
-474924 -485599 U
-475615 -499569 D
-482719 -496581 L
-495754 -490700 D
-496120 -473944 L
-473632 -484175 U
-471891 -485720 U
-487632 -493749 R
-493381 -497085 U
-468913 -477795 R
-477171 -470924 R
-468475 -470319 U
-475816 -497355 R
-481496 -479642 L
-491534 -475636 D
-480414 -497380 D
-487675 -476629 L
-487148 -491313 D
-482928 -472511 L
-472577 -477333 U
-477500 -492150 R
-489033 -494266 D
-486754 -479554 L
-470512 -487045 D
-470834 -485639 R
-487170 -472287 U
-476084 -490067 L
-488276 -469909 L
-482260 -483278 R
-473688 -479973 D
-485755 -470876 U
-499588 -476207 L
-470890 -475387 R
-499950 -479728 R
-499866 -483115 L
-473176 -477924 L
-495985 -480596 R
-484793 -472584 U
-480515 -471947 L
-493826 -471764 R
-492096 -496555 R
-498105 -481503 U
-473274 -467604 R
-482716 -486354 R
-475755 -481555 R
-468074 -486480 U
-479134 -481985 L
-488833 -486467 L
-472042 -495063 R
-472312 -492711 D
-487143 -482758 L
-475228 -478410 R
-481529 -486181 R
-495669 -470691 R
-488558 -482848 D
-473602 -481701 U
-496830 -480654 R
-487243 -480571 L
-473519 -471913 D
-489728 -474580 L
-496045 -491567 L
-484145 -490275 L
-493200 -489842 L
-476147 -470016 D
-487852 -478380 U
-487648 -494606 R
-493535 -470542 D
-475546 -469270 L
-470006 -498656 D
-481858 -477618 D
-495005 -483759 U
-497581 -482486 L
-474304 -492374 R
-477166 -497804 D
-496893 -478898 R
-494700 -494415 L
-494236 -498550 L
-477077 -471144 U
-483882 -486266 R
-491254 -499207 U
-468385 -481920 L
-480058 -488607 L
-470476 -478015 D
-477791 -482395 L
-476231 -471098 D
-480549 -489503 L
-469577 -483748 D
-485248 -473995 U
-467476 -480872 U
-482454 -487724 U
-484555 -490762 U
-483725 -485299 R
-467961 -494079 U
-489273 -499944 R
-476678 -494503 R
-487784 -486073 R
-484985 -499992 U
-484189 -488083 U
-472758 -491350 D
-480184 -496874 D
-498063 -471462 U
-495331 -480915 R
-469994 -484396 R
-470457 -494435 L
-478797 -474344 L
-497400 -498994 D
-499459 -490959 L
-496849 -499760 R
-498244 -496541 D
-474243 -480555 L
-472443 -491399 L
-494822 -481335 L
-472231 -485113 U
-491868 -487907 D
-498791 -471824 D
-495986 -475859 R
-487726 -473691 U
-483906 -474487 D
-482234 -467509 L
-490835 -493375 R
-474299 -469435 D
-483722 -481913 D
-468303 -497438 L
-484708 -478137 D
-491455 -473317 D
-480919 -481658 L
-484260 -493413 R
-473549 -481890 L
-494170 -499561 L
-472589 -468551 R
-494695 -474603 R
-475674 -468967 R
-486981 -476493 D
-476869 -479476 D
-490162 -481132 U
-477197 -499681 D
-486000 -484488 R
-489344 -489113 D
-480534 -484819 L
-492851 -482045 D
-478314 -492334 R
-477531 -478687 U
-475994 -478799 U
-468793 -467675 R
-486276 -473707 U
-492293 -498489 D
-489472 -472610 R
-491260 -485303 U
-467381 -491057 D
-499890 -495859 U
-479627 -496189 R
-470627 -494538 R
-484924 -481713 L
-472271 -483052 D
-497538 -470412 U
-485612 -469102 U
-486919 -480395 L
-470387 -488994 R
-497460 -473618 D
-498440 -471300 D
-488918 -488645 L
-471705 -476146 R
-468026 -475316 R
-494631 -497557 D
-498207 -495997 R
-495887 -485660 U
-475325 -492501 U
-479122 -481082 D
-483504 -485982 R
-484908 -471177 U
-487805 -469158 D
-497660 -493629 R
-481303 -473043 U
-491589 -477645 R
-491917 -473914 D
-475606 -483836 D
-487617 -468989 L
-468957 -494443 R
-473566 -483677 R
-469094 -478866 U
-488420 -490597 R
-476575 -475354 U
-479363 -479266 L
-498071 -488499 L
-474142 -474225 U
-497933 -477259 D
-496558 -481341 R
-490639 -481371 D
-496602 -471193 D
-488437 -492584 R
-496765 -498966 L
-491266 -491686 R
-482678 -498262 U
-470696 -484444 D
-480630 -477850 D
-482632 -472445 D
-485670 -482526 R
-477417 -494421 U
-475348 -482768 L
-497968 -477814 U
-498838 -494226 U
-486310 -479946 R
-486015 -480303 U
-471954 -495737 R
-479314 -494387 D
-474985 -472125 L
-483805 -480690 D
-474279 -480674 R
-493286 -478935 R
-478093 -481599 R
-497483 -470440 D
-479000 -497385 R
-483780 -475550 L
-479792 -481142 D
-498025 -468556 D
-477656 -477059 L
-489449 -488484 L
-482540 -482400 D
-470553 -498457 U
-482483 -479751 L
-487999 -470197 D
-486981 -478420 L
-494406 -480731 L
-474018 -472913 L
-496065 -480579 D
-494562 -498765 U
-471909 -494212 D
-494821 -487206 U
-492385 -490009 R
-497019 -483302 U
-473533 -492996 D
-484814 -487068 U
-468393 -478540 D
-498837 -483620 L
-488038 -483927 R
-485982 -489527 U
-468003 -484086 U
-471279 -472183 R
-479762 -481565 R
-484241 -498132 D
-494714 -498209 L
-480699 -497534 U
-491918 -491500 U
-483450 -490566 U
-475484 -484996 L
-496526 -498446 L
-485639 -494373 D
-472590 -485570 D
-487206 -487152 U
-482069 -482545 U
-472845 -484871 L
-487872 -468987 U
-484927 -472201 R
-470156 -480622 R
-468825 -472519 D
-496337 -499468 D
-491328 -472757 U
-473071 -490637 D
-494926 -498524 L
-499301 -478745 L
-486616 -477140 D
-485869 -477975 U
-484928 -477210 U
-483925 -496821 R
-499570 -493237 L
-498081 -482143 U
-489336 -473350 D
-490183 -483330 L
-499347 -471236 U
-477952 -470467 L
-474100 -470244 U
-487039 -468634 R
-490501 -475395 R
-473617 -480497 R
-468462 -469264 D
-488947 -480817 D
-476341 -495551 U
-467679 -495082 U
-489507 -499987 D
-475424 -497398 L
-496477 -485119 R
-490031 -493511 R
-473808 -496880 U
-479264 -493758 U
-469217 -475068 D
-494321 -483134 R
-495740 -473666 R
-471671 -482783 U
-470650 -498642 L
-470135 -496099 U
-487032 -492552 D
-475441 -489437 U
-492948 -471225 D
-492904 -486703 D
-490791 -499002 U
-468909 -485832 U
-477560 -481012 U
-495475 -474435 L
-467966 -469539 U
-479030 -492640 D
-485033 -488005 L
-479171 -474985 U
-492874 -484462 U
-491863 -479229 D
-486415 -476838 R
-489526 -498782 R
-486837 -484862 D
-480492 -497712 D
-489942 -486904 R
-484685 -486993 R
-490374 -472702 R
-473591 -486697 U
-487956 -483960 L
-470242 -497322 L
-491947 -487356 D
-473145 -474840 U
-479021 -479734 L
-471452 -485260 D
-486008 -494774 R
-472188 -488915 R
-476151 -470468 D
-487203 -484633 U
-499245 -472944 L
-479408 -470523 U
-493981 -469871 L
-488211 -467576 R
-471353 -469388 D
-473789 -489181 R
-491331 -469553 L
-472753 -491159 R
-482881 -488344 L
-491027 -474585 D
-491374 -471330 U
-478560 -476337 D
-495582 -474917 R
-470018 -476676 R
-495394 -490033 D
-498642 -488590 D
-491049 -483228 L
-487116 -479694 U
-477896 -474581 R
-494591 -472717 L
-467961 -476624 D
-482171 -483939 D
-472278 -471939 D
-487894 -474978 U
-495591 -469587 L
-497267 -471250 L
-477740 -490207 R
-496821 -468896 L
-480533 -492169 R
-499399 -476400 L
-491584 -483762 R
-496025 -490230 D
-499635 -496766 D
-480332 -478714 U
-495866 -473759 U
-494102 -492345 D
-471358 -474487 R
-494702 -499965 R
-473180 -473236 D
-480261 -496421 U
-477319 -474954 U
-477638 -491765 L
-477161 -492290 D
-499199 -480482 U
-473463 -469103 D
-485991 -496824 D
-472003 -489164 D
-474253 -483401 U
-473236 -469714 U
-483580 -470673 L
-490898 -477184 D
-496669 -498916 D
-499266 -488815 D
-478356 -477611 U
-467240 -489544 U
-480179 -471991 D
-468426 -484508 R
-492344 -483636 U
-485094 -480799 L
-488548 -496833 D
-486428 -498979 D
-484161 -492861 L
-475100 -489668 U
-471427 -480321 U
-471636 -484888 L
-491371 -479586 R
-495539 -486639 R
-486809 -484281 U
-468990 -480612 D
-489896 -469295 L
-493643 -493125 R
-473110 -486067 U
-475417 -467748 L
-499894 -482878 U
-490275 -493964 D
-485321 -475974 D
-482269 -473012 D
-468080 -468000 R
-476284 -467871 R
-491024 -482903 D
-473660 -477322 D
-488676 -488961 U
-472125 -483616 U
-476879 -496544 D
-496426 -497604 D
-499753 -479753 D
-497812 -498416 U
-485666 -467313 L
-475037 -469631 U
-475886 -487044 U
-478818 -494431 D
-482514 -483385 R
-477011 -494062 L
-483281 -478402 D
-490324 -491554 L
-489608 -486852 D
-479574 -484134 U
-471414 -478652 U
-480720 -482569 U
-494788 -480321 U
-474176 -498107 D
-478035 -470140 R
-499351 -484205 L
-475020 -487691 U
-483903 -499980 U
-499020 -492089 R
-471075 -488043 D
-498916 -499492 L
-478423 -471134 D
-470531 -473156 L
-477141 -472018 U
-495617 -485760 U
-482410 -468394 R
-499692 -494502 U
-486608 -485853 U
-473405 -477447 L
-468857 -469814 D
-480547 -493190 U
-497826 -479649 U
-480457 -471640 R
-497064 -488422 U
-476669 -496461 D
-492968 -478789 U
-468517 -489295 U
-490115 -467536 L
-482913 -494984 U
-476975 -479477 R
-498768 -475205 U
-472066 -470674 D
-488916 -488592 D
-495451 -471443 D
-467647 -499994 R
-495822 -483043 D
-472662 -467947 R
-476872 -486451 L
-480015 -495091 R
-492097 -468715 D
-493039 -472432 U
-481778 -489284 U
-490362 -472003 D
-482863 -491987 R
-476936 -487725 U
-483412 -468622 R
-470538 -489612 U
-472167 -498459 R
-492411 -487177 R
-491859 -478944 L
-478352 -468834 R
-490487 -481838 R
-480873 -478762 D
-473817 -499333 D
-476498 -494644 R
-498739 -468151 D
-469199 -468500 R
-486849 -482939 D
-488583 -492362 R
-497012 -486322 U
-496855 -497046 U
-480246 -495715 R
-482948 -475277 R
-478625 -481090 R
-492526 -496485 D
-476249 -498999 D
-472755 -479882 U
-476270 -468293 L
-482202 -484484 U
-485479 -493759 D
-485192 -468277 L
-471911 -495272 L
-478473 -482410 D
-477079 -482752 L
-495026 -493677 L
-482731 -477051 U
-498537 -477923 L
-478340 -476922 D
-499666 -491075 D
-496505 -486852 D
-486650 -474034 L
-468943 -493775 D
-470510 -480506 D
-470380 -490260 D
-490212 -486395 U
-472257 -479171 L
-488804 -479437 R
-492422 -494811 D
-472010 -498019 L
-476084 -493480 L
-473119 -485748 D
-467950 -497531 D
-468251 -495348 R
-486960 -470934 U
-494795 -483173 D
-478585 -481311 R
-474924 -496579 U
-481492 -482973 D
-498631 -470234 D
-487914 -497993 U
-477190 -499536 R
-493307 -486713 D
-490717 -497303 D
-476153 -499244 U
-495872 -489392 R
-467994 -489352 U
-469428 -483432 L
-496917 -477376 U
-475916 -499052 D
-485099 -470078 U
-473346 -485740 D
-493289 -478862 D
-480721 -469288 R
-488011 -498772 D
-480897 -472085 R
-480416 -495696 D
-492924 -491268 L
-481251 -491396 R
-469928 -499179 L
-473065 -485434 D
-482135 -490434 D
-499849 -467317 R
-470293 -477971 D
-470457 -492309 L
-498967 -491436 R
-491109 -486325 U
-491724 -493971 U
-499411 -497680 U
-472821 -490290 L
-494804 -475243 R
-487715 -471122 R
-471048 -496470 L
-488580 -483671 U
-475660 -498121 D
-499832 -474594 R
-474686 -493407 D
-498748 -467914 R
-489092 -467523 D
-487848 -473854 U
-477747 -489736 L
-475609 -498899 R
-468497 -473474 L
-481600 -468177 D
-481279 -481889 R
-484199 -494323 R
-478928 -498198 R
-494449 -484092 L
-493147 -477257 D
-468249 -492106 D
-496071 -496622 U
-473796 -494933 D
-483747 -483003 D
-475101 -489400 L
-489802 -495496 L
-482194 -492913 U
-472733 -473062 D
-489137 -477635 L
-493854 -478696 L
-499761 -468960 U
-485623 -485886 U
-468659 -486204 R
-490592 -497994 L
-467439 -497979 D
-496017 -497621 L
-476666 -496543 R
-480547 -481943 L
-486080 -488158 D
-485504 -485417 D
-484647 -497982 R
-467420 -477081 D
-480183 -480117 L
-474830 -489403 U
-493498 -481565 L
-498814 -499182 R
-486454 -497465 U
-494595 -498213 L
-485157 -479388 R
-493413 -499389 D
-482788 -474103 L
-480101 -490856 D
-488610 -478423 L
-486387 -474922 L
-491874 -472277 U
-484606 -492615 D
-470469 -480205 D
-499452 -475531 D
-497597 -471508 D
-474721 -486230 L
-497617 -469827 L
-470754 -469848 R
-482466 -499476 R
-495405 -494801 D
-488907 -467302 R
-499584 -478179 R
-484692 -483291 U
-468302 -481070 L
-494928 -490291 D
-497608 -477132 R
-491614 -493907 L
-476422 -477809 L
-495143 -470166 D
-484651 -482610 D
-494088 -499990 D
-471215 -495683 U
-487573 -474709 D
-489659 -480426 L
-485770 -467819 U
-484413 -492225 U
-482931 -492970 L
-475666 -479985 L
-469763 -480590 L
-477317 -472596 R
-490240 -496051 L
-494578 -491361 U
-485929 -468530 L
-483905 -481477 U
-499063 -488074 U
-474793 -471845 R
-491965 -468357 D
-475343 -491214 R
-479841 -474675 D
-470074 -468267 L
-472005 -479223 L
-471229 -469873 U
-473000 -489274 L
-477757 -476893 D
-474744 -473210 R
-488965 -470472 R
-493424 -473368 U
-490882 -476559 U
-496120 -479497 R
-496152 -468000 L
-484772 -478810 U
-482168 -484535 U
-498371 -481065 R
-481692 -473606 R
-476242 -496768 R
-492880 -468191 R
-480486 -469041 D
-482805 -488734 R
-488120 -479654 R
-491744 -486235 R
-498679 -491849 L
-487045 -468151 L
-469787 -483301 R
-471881 -499386 L
-486337 -487219 R
-472499 -477215 R
-471899 -479863 U
-483672 -486398 D
-492988 -487884 R
-472494 -491446 R
-484423 -489628 D
-481709 -469131 R
-470852 -497489 R
-469230 -482501 D
-469936 -483904 U
